Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,9,0.004059784,0.004703641,0.004656361,0.0018856419999999999,0.00698183,0.004498828999999999,0.008509698999999999,0.0028779749999999996,0.001067414,0.004417658,0.000716473,0.002389882,0.0017999249999999997,0.002663348,0.003183176,0.00143922,0.0012221369999999999,0.001164267,0.005806703,0.004812503,0.004004899,0.002825237,0.001737268,0.003830768,0.0017580259999999998,0.0043476190000000005,0.000413215,0.0026313889999999996,0.005052657,0.003712198,0.0015247969999999998,0.00160337,0.007904005,0.0043895819999999995,0.004321647,0.0016592879999999999
01.01.,10,0.03877905,0.047630357,0.055708877000000004,0.022571386,0.060938744,0.046342967,0.078454787,0.031815352,0.014552737999999999,0.040860179999999996,0.010557641999999999,0.035016794999999996,0.015933757,0.034924868,0.032378923999999996,0.021412179999999996,0.016058289,0.022996045,0.04689397,0.053648149000000006,0.036227619,0.032632588000000004,0.019721435,0.037170272000000004,0.023107141999999997,0.036720857999999995,0.008461457,0.032074417,0.045232421999999994,0.035495685,0.017197622,0.019546588,0.07531758399999999,0.035084536,0.040768751,0.013829728
01.01.,11,0.085221311,0.11406554199999999,0.132403301,0.054438722,0.13393118999999998,0.114961189,0.174455424,0.07735814999999999,0.036514395,0.09478128499999999,0.027353332,0.08996783000000001,0.03585851899999999,0.086509797,0.075515189,0.055103862999999996,0.038861876000000004,0.064119654,0.098641708,0.126230209,0.082686101,0.08048870799999999,0.047178106,0.085679903,0.057350646000000005,0.08335884099999999,0.023544561999999998,0.075700804,0.103186167,0.08387762499999998,0.042122629,0.045616562,0.167538758,0.077581005,0.09357775299999999,0.030913490999999998
01.01.,12,0.11842413600000001,0.17162719099999998,0.196165078,0.080745409,0.191141422,0.178430274,0.249611106,0.11715519999999999,0.055043142999999996,0.140628168,0.041489367,0.13838612499999997,0.05111439400000001,0.129469114,0.109498579,0.08273618499999999,0.056856676999999994,0.10299023900000001,0.135626925,0.18490411099999998,0.120494981,0.121312096,0.069418551,0.124837214,0.086642728,0.122435959,0.037796522,0.109109703,0.150331774,0.12439994399999998,0.063613135,0.065358424,0.239709429,0.11130146599999999,0.136058036,0.044247923999999994
