Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,9,0.006277573999999999,0.006642046,0.007812026,0.0018664789999999999,0.016563543,0.008425802,0.022147861999999997,0.002765236,0.0009485569999999998,0.006150734999999999,0.000642098,0.0022256129999999996,0.0018504749999999999,0.002523368,0.003101021,0.001258781,0.0011178849999999999,0.0010506069999999998,0.010579598999999999,0.006452459000000001,0.0051334829999999994,0.00272552,0.001581612,0.004657102,0.00181851,0.007863007,0.000364195,0.002719368,0.009342208000000001,0.005577912,0.001378318,0.001539762,0.021134898,0.006851246,0.006653559999999999,0.0016331599999999998
01.01.,10,0.067785982,0.089011058,0.121211096,0.027716581999999997,0.143121956,0.094078761,0.208741481,0.041765174,0.014819548,0.07199575999999999,0.01222956,0.059617377,0.017089550999999998,0.05209167199999999,0.037580577999999996,0.02676927,0.015236199999999998,0.023911837999999998,0.08861191,0.105260913,0.052286492,0.044108829999999995,0.018935219,0.054078250999999994,0.027888949,0.06998449400000001,0.007752768,0.047312176000000004,0.08518178900000001,0.058807165999999994,0.017125724999999998,0.020573628,0.191865736,0.055523151,0.067525369,0.014303719
01.01.,11,0.145644553,0.217157221,0.26819774,0.07173082,0.27473893899999996,0.220821655,0.393891497,0.11392179999999999,0.042499295,0.170260289,0.036261231000000005,0.16023670099999998,0.038484377,0.14358005,0.096997873,0.08103192499999999,0.039192463,0.07821977,0.17428495100000002,0.24918737200000002,0.12224742499999999,0.12340023399999998,0.04916061199999999,0.127744677,0.072055658,0.144131387,0.022538624000000004,0.11391618299999999,0.18273647699999998,0.141136829,0.045124694,0.048894893,0.353308634,0.120596186,0.151198087,0.031914279000000004
01.01.,12,0.200466746,0.32399456800000004,0.379871667,0.11177912699999999,0.36161028399999995,0.326387571,0.508362574,0.18484673499999998,0.070143938,0.254170717,0.05784830600000001,0.24492227799999997,0.055542824000000005,0.223346169,0.14943593100000002,0.128798201,0.05927986799999999,0.138893194,0.234054859,0.36067324700000003,0.183569447,0.19630676,0.076421402,0.19106566199999997,0.114239158,0.200991102,0.037542235,0.163640515,0.258775333,0.208883684,0.07228458299999999,0.07163907900000001,0.459636354,0.17483110200000002,0.218388421,0.045634475
