Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,9,0.008273222,0.006770014000000001,0.005789215,0.002250506,0.015558974,0.006487872,0.020523694000000002,0.00346155,0.001422917,0.006278782,0.000984287,0.0026639109999999997,0.001986952,0.003222492,0.003770175,0.0016577340000000001,0.001555336,0.001307926,0.011712658,0.006274381,0.005612870000000001,0.0031686279999999997,0.001848529,0.005499477000000001,0.001900552,0.006580378,0.00030735699999999996,0.0035237679999999996,0.009982175000000001,0.006916466,0.001618198,0.0019644069999999996,0.016615424,0.007566723,0.006272739,0.0020304370000000004
01.01.,10,0.086371752,0.075941387,0.07936147,0.033628058,0.142703884,0.066221163,0.174883016,0.048607708,0.020115819,0.064928348,0.016886903999999998,0.042249197,0.016810317999999998,0.049287705999999994,0.03913381,0.026584282,0.016693569000000002,0.022090536,0.099476859,0.081592389,0.049591192000000006,0.043971622,0.019664156000000002,0.060864984999999996,0.024867968,0.05707758699999999,0.006354574,0.049528351,0.08714765699999999,0.067991954,0.018302929,0.022842726,0.132233053,0.059387358,0.057025628,0.016602444
01.01.,11,0.186995966,0.182339682,0.191304332,0.08685380599999999,0.28303229399999996,0.154224949,0.33854428699999994,0.131192354,0.058018786999999995,0.15267060999999998,0.04917279799999999,0.10925900899999999,0.036468434999999993,0.13032384,0.095179084,0.072121181,0.038344032,0.065949439,0.198242635,0.19040136,0.109148022,0.120666991,0.047778451000000006,0.141233459,0.062794598,0.121634218,0.017916717999999998,0.11923334899999997,0.18371185,0.156418984,0.046732149,0.051283837,0.250724074,0.127160312,0.12469353600000001,0.035604158
01.01.,12,0.260168705,0.273967278,0.28522695,0.135602411,0.37641242700000005,0.22916019999999998,0.44343160800000003,0.21106148399999997,0.098350239,0.228299896,0.07926796299999998,0.166418168,0.051255136,0.20246370599999997,0.143621786,0.11026054900000001,0.054469796,0.11337887599999999,0.266769262,0.27577719300000003,0.15760080199999998,0.19156819,0.07181027899999999,0.207453597,0.097630586,0.17338561600000002,0.029246738999999997,0.173234651,0.255992044,0.22742546500000002,0.07386263100000001,0.072524369,0.33021018599999996,0.180942842,0.17742812600000002,0.049565873
