Datum von,Datum bis,Biomasse [MWh],Wasserkraft [MWh],Wind Offshore [MWh],Wind Onshore [MWh],Photovoltaik [MWh],Sonstige Erneuerbare [MWh],Kernenergie [MWh],Braunkohle [MWh],Steinkohle [MWh],Erdgas [MWh],Pumpspeicher [MWh],Sonstige Konventionelle [MWh]
01.01.2025 00:00,01.01.2025 00:15,987.75,358.75,603.75,8241.75,2.50,32.75,-,813.25,757.25,1177.75,113.25,492.00
01.01.2025 00:15,01.01.2025 00:30,955.75,374.50,650.25,8206.25,2.25,32.75,-,816.75,688.75,1173.75,209.50,466.75
01.01.2025 00:30,01.01.2025 00:45,941.00,353.00,635.50,8206.00,2.25,32.75,-,815.75,682.00,1162.75,108.75,466.50
01.01.2025 00:45,01.01.2025 01:00,934.00,354.75,612.50,8221.75,2.50,33.00,-,823.75,678.50,1178.25,26.50,469.75
01.01.2025 01:00,01.01.2025 01:15,950.00,349.25,563.25,8312.25,2.50,32.75,-,957.75,676.75,1126.75,91.75,468.50
01.01.2025 01:15,01.01.2025 01:30,938.00,335.25,627.50,8371.50,2.50,32.75,-,964.25,681.50,1058.00,21.25,463.75
01.01.2025 01:30,01.01.2025 01:45,937.00,346.00,602.75,8409.25,2.25,32.75,-,921.25,679.75,1052.75,31.25,467.75
01.01.2025 01:45,01.01.2025 02:00,938.00,349.50,602.00,8427.00,2.25,32.75,-,896.00,681.00,1090.00,0.00,471.00
01.01.2025 02:00,01.01.2025 02:15,929.00,337.75,669.00,8443.25,2.25,32.75,-,827.25,680.75,1046.50,1.00,465.75
01.01.2025 02:15,01.01.2025 02:30,935.25,330.75,666.00,8478.25,2.25,32.75,-,814.00,681.50,1059.00,0.00,457.50
01.01.2025 02:30,01.01.2025 02:45,934.75,341.75,646.50,8425.00,2.25,32.75,-,816.50,678.50,1055.00,0.00,461.00
01.01.2025 02:45,01.01.2025 03:00,938.00,333.50,632.50,8420.50,2.25,32.75,-,807.25,676.25,1057.25,0.00,453.00
01.01.2025 03:00,01.01.2025 03:15,937.25,332.25,451.25,8180.25,2.50,33.00,-,808.25,678.25,1047.50,76.50,448.75
